,bike_type,frame_material,production_cost,assembly_time,top_speed,battery_type,motor_power,customer_score
68,folding,steel,524.16,47.21,18.48,lead acid,206,7.53
69,standard,steel,447.02,41.32,27.74,nimh,271,6.72
70,road,aluminum,757.68,78.11,29.52,nimh,260,8.17
71,mountain,aluminum,296.65,80.11,25.58,li-ion,267,5.43
72,standard,carbon fiber,418.21,67.41,30.94,li-ion,172,2.81
73,mountain,aluminum,790.1,28.64,29.85,nimh,187,7.92
74,mountain,carbon fiber,257.33,60.06,25.23,li-ion,191,4.91
75,standard,aluminum,277.14,64.12,20.62,li-ion,244,5.08
76,standard,steel,390.9,73.15,24.6,lead acid,234,4.83
77,folding,carbon fiber,598.9,46.58,24.76,nimh,322,7.87
78,standard,aluminum,640.32,40.27,19.53,li-ion,287,9.02
79,folding,aluminum,238.12,68.76,24.38,nimh,201,4.36
80,standard,steel,467.13,61.47,20.58,lead acid,222,3.89
81,folding,carbon fiber,771.79,72.59,14.72,li-ion,269,8.85
82,standard,aluminum,607.0,76.71,28.23,lead acid,272,5.41
83,road,carbon fiber,275.04,76.15,27.9,lead acid,195,4.63
84,standard,carbon fiber,783.19,59.34,22.9,lead acid,215,6.19
85,mountain,carbon fiber,325.76,94.64,29.89,li-ion,224,4.75
86,folding,carbon fiber,729.46,66.05,23.88,lead acid,198,8.94
87,road,aluminum,225.81,58.1,19.87,nimh,169,6.31
88,folding,steel,412.81,49.65,29.22,li-ion,291,7.43
89,mountain,carbon fiber,792.2,49.4,32.44,nimh,198,9.21
90,mountain,steel,399.6,57.02,22.48,li-ion,296,4.25
91,folding,carbon fiber,338.07,48.95,21.99,lead acid,315,2.75
92,standard,carbon fiber,638.52,58.82,19.48,nimh,168,8.74
93,road,carbon fiber,580.89,41.55,23.2,nimh,195,7.09
94,folding,carbon fiber,542.47,64.21,22.26,li-ion,196,8.34
95,standard,aluminum,288.24,83.6,14.93,lead acid,166,7.73
96,folding,steel,473.44,46.04,27.37,lead acid,298,6.24
97,standard,aluminum,702.15,57.41,21.02,nimh,213,9.68
98,standard,aluminum,583.89,41.89,27.0,nimh,234,7.02
99,folding,steel,362.68,54.61,33.98,nimh,237,7.68
100,mountain,aluminum,750.18,53.66,30.11,lead acid,249,7.06
101,road,steel,543.37,39.06,34.63,li-ion,184,8.35
102,mountain,aluminum,658.03,51.85,25.72,li-ion,325,10.29
103,mountain,aluminum,233.92,89.94,31.64,nimh,331,4.29
104,road,aluminum,490.85,74.44,24.05,lead acid,317,6.44
105,road,carbon fiber,589.89,59.65,24.82,nimh,290,6.8
106,road,steel,379.49,60.15,21.45,lead acid,188,4.94
107,folding,carbon fiber,508.25,78.57,26.93,lead acid,222,4.77
108,mountain,aluminum,335.07,33.32,30.42,lead acid,237,4.38
109,folding,carbon fiber,720.46,50.49,20.89,nimh,275,7.34
110,road,steel,618.41,57.73,16.25,lead acid,218,6.56
111,standard,carbon fiber,609.1,46.84,17.9,nimh,230,4.94
112,standard,aluminum,639.72,42.69,22.47,nimh,291,3.65
113,road,carbon fiber,372.89,69.77,24.03,lead acid,185,6.53
114,folding,aluminum,377.09,92.46,22.33,lead acid,305,6.03
115,mountain,carbon fiber,534.97,75.55,26.07,li-ion,170,7.99
116,standard,carbon fiber,631.32,50.0,23.46,nimh,255,9.07
117,road,aluminum,617.51,81.56,23.34,lead acid,298,10.25
118,mountain,carbon fiber,753.78,53.47,24.38,lead acid,305,8.92
119,road,steel,732.77,92.94,32.83,lead acid,234,6.31
120,folding,aluminum,254.93,76.71,27.18,li-ion,257,4.98
121,mountain,aluminum,548.17,47.45,27.91,other,276,6.43
122,road,aluminum,660.13,58.23,21.94,nimh,229,8.23
123,road,steel,300.85,55.27,19.54,li-ion,221,5.27
124,road,aluminum,756.78,74.2,26.17,nimh,231,8.31
125,standard,steel,781.09,42.19,21.72,lead acid,220,6.97
126,road,steel,219.51,55.75,37.41,lead acid,242,3.96
127,road,carbon fiber,658.63,74.13,28.98,nimh,264,6.17
128,road,steel,549.97,55.52,26.47,lead acid,186,10.53
129,mountain,steel,733.67,67.53,22.34,other,258,10.3
130,standard,steel,262.73,71.1,15.81,lead acid,286,7.68
131,road,carbon fiber,326.66,61.14,30.03,lead acid,251,7.39
132,road,aluminum,237.22,67.73,30.86,li-ion,245,4.96
133,standard,carbon fiber,403.8,67.73,14.77,li-ion,258,8.76
134,road,carbon fiber,675.14,44.73,19.95,li-ion,261,7.68
135,standard,steel,689.84,70.44,34.72,lead acid,273,5.08
136,standard,carbon fiber,254.03,49.34,26.17,lead acid,245,7.86
137,folding,aluminum,770.59,73.76,22.35,li-ion,281,6.39
138,road,aluminum,388.79,61.88,22.62,nimh,324,7.17
139,road,carbon fiber,613.61,84.32,21.7,nimh,317,7.78
140,folding,aluminum,514.56,51.32,20.0,nimh,249,6.7
141,road,steel,736.37,32.03,30.62,nimh,187,9.78
142,standard,carbon fiber,336.87,94.23,34.48,nimh,187,6.73
143,folding,carbon fiber,320.96,47.81,35.96,other,214,7.64
144,road,steel,281.04,75.36,14.72,li-ion,290,3.33
145,road,steel,458.73,49.49,24.78,lead acid,250,5.48
146,road,aluminum,644.82,88.08,33.1,li-ion,328,7.91
147,standard,aluminum,630.42,69.09,30.89,lead acid,238,7.67
148,folding,aluminum,745.67,54.42,24.85,nimh,258,7.6
149,road,carbon fiber,710.86,55.78,23.46,li-ion,176,8.47
150,road,carbon fiber,529.86,88.8,20.32,other,207,6.66
151,standard,steel,453.63,68.22,17.39,other,319,4.94
152,road,carbon fiber,368.98,59.43,26.4,li-ion,382,8.28
153,mountain,carbon fiber,698.25,43.29,21.36,nimh,169,6.54
154,mountain,steel,369.58,34.73,25.0,lead acid,234,4.54
155,road,carbon fiber,563.48,114.66,22.73,lead acid,243,8.97
156,mountain,steel,526.86,73.08,24.78,nimh,231,5.39
157,road,steel,340.77,93.33,26.8,nimh,298,4.81
158,road,carbon fiber,269.03,59.43,17.61,li-ion,269,4.75
159,mountain,aluminum,646.92,69.83,26.52,lead acid,227,7.78
160,road,steel,683.54,47.02,20.05,nimh,251,7.44
161,mountain,aluminum,373.49,71.39,18.95,lead acid,262,7.65
162,mountain,steel,649.62,46.35,33.62,nimh,312,7.97
163,road,steel,701.55,64.49,23.06,other,282,7.96
164,mountain,aluminum,459.33,86.38,27.74,lead acid,292,6.51
165,mountain,carbon fiber,661.03,74.57,26.76,li-ion,255,8.4
166,standard,steel,571.29,57.9,21.92,li-ion,245,4.55
167,road,aluminum,334.77,21.16,25.5,lead acid,223,5.99
168,mountain,steel,663.13,60.39,21.36,nimh,273,7.6
169,standard,steel,756.18,58.12,23.2,nimh,254,9.29
170,standard,aluminum,471.04,74.81,28.29,nimh,282,7.57
171,mountain,aluminum,392.7,44.98,24.08,nimh,327,5.14
172,mountain,steel,545.77,59.47,29.56,nimh,328,6.61
173,folding,carbon fiber,776.89,54.97,24.64,lead acid,213,6.8
174,mountain,carbon fiber,350.98,72.74,24.08,lead acid,177,7.21
175,folding,aluminum,497.75,67.87,23.67,li-ion,300,5.2
176,folding,steel,471.64,41.82,26.26,nimh,328,7.23
177,road,steel,660.73,70.09,24.99,li-ion,181,4.97
178,road,steel,376.49,55.58,23.11,lead acid,202,6.62
179,mountain,carbon fiber,625.61,57.11,26.04,lead acid,264,6.99
180,road,carbon fiber,764.58,61.6,33.28,lead acid,100,6.55
181,standard,carbon fiber,290.05,56.3,28.0,nimh,290,4.49
182,road,steel,441.92,67.27,26.45,li-ion,293,6.64
183,folding,aluminum,429.31,37.56,25.53,li-ion,296,6.88
184,road,carbon fiber,242.32,83.74,23.5,lead acid,222,4.64
185,mountain,carbon fiber,344.97,52.43,19.17,lead acid,370,6.05
186,mountain,carbon fiber,638.82,65.07,24.77,li-ion,250,6.43
187,mountain,aluminum,357.28,49.28,25.0,li-ion,307,7.93
188,mountain,steel,748.37,44.03,28.77,nimh,274,8.49
189,road,aluminum,468.93,53.72,25.69,nimh,248,5.73
190,standard,aluminum,433.82,49.51,33.3,li-ion,225,7.62
191,standard,steel,437.12,30.44,35.04,lead acid,255,6.14
192,mountain,aluminum,487.84,67.0,24.24,nimh,257,6.92
193,folding,steel,362.38,49.88,28.02,lead acid,248,7.06
194,standard,aluminum,548.47,63.23,20.54,nimh,241,6.76
195,standard,carbon fiber,276.54,66.08,26.94,lead acid,200,5.19
196,folding,steel,589.59,35.81,21.46,nimh,242,4.3
197,mountain,carbon fiber,410.41,30.11,25.57,nimh,174,6.44
198,standard,aluminum,408.3,76.79,25.1,nimh,246,4.84
199,standard,aluminum,221.31,69.95,21.5,li-ion,277,4.31
200,road,carbon fiber,589.29,24.88,33.07,nimh,247,6.56
201,mountain,carbon fiber,422.11,57.78,27.27,lead acid,272,2.98
202,mountain,carbon fiber,703.65,72.68,23.26,li-ion,254,5.57
203,mountain,aluminum,223.41,85.1,29.23,lead acid,260,7.13
204,road,aluminum,266.93,68.88,18.3,other,261,6.42
205,mountain,carbon fiber,699.45,63.85,26.72,lead acid,172,8.7
206,road,carbon fiber,356.08,45.94,31.36,li-ion,294,4.74
207,folding,carbon fiber,268.73,53.12,26.25,lead acid,234,3.03
208,road,steel,232.42,67.91,26.02,li-ion,260,4.24
209,folding,aluminum,728.56,77.84,38.63,li-ion,304,8.43
210,standard,aluminum,206.3,46.16,35.19,lead acid,273,5.88
211,mountain,aluminum,432.02,54.17,20.37,lead acid,219,8.58
212,road,steel,356.68,64.01,28.27,nimh,196,7.19
213,road,carbon fiber,688.94,53.06,22.52,nimh,230,8.17
214,mountain,aluminum,486.34,77.72,23.85,other,321,6.15
215,road,carbon fiber,224.91,54.53,26.65,nimh,306,4.56
216,standard,carbon fiber,436.52,75.71,24.63,nimh,202,5.54
217,mountain,carbon fiber,345.27,67.77,27.28,nimh,286,3.82
218,folding,steel,634.92,35.92,19.35,li-ion,218,7.53
219,mountain,aluminum,435.32,42.25,21.91,li-ion,266,5.99
220,folding,steel,307.75,57.16,31.14,nimh,283,6.2
221,standard,steel,515.16,79.42,26.42,nimh,215,7.96
222,mountain,carbon fiber,523.56,52.23,25.04,li-ion,295,6.62
223,folding,aluminum,217.11,57.19,25.36,nimh,204,7.01
224,road,steel,491.15,83.85,16.44,lead acid,301,5.26
225,road,aluminum,568.28,54.99,18.44,nimh,271,8.29
226,standard,carbon fiber,291.85,48.1,17.94,lead acid,290,1.96
227,road,steel,332.67,39.93,29.61,lead acid,284,3.25
228,road,aluminum,797.9,44.43,24.44,lead acid,238,6.12
229,road,carbon fiber,355.18,54.12,34.38,li-ion,198,4.4
230,folding,carbon fiber,674.84,68.91,29.14,lead acid,181,5.79
231,standard,carbon fiber,344.67,72.73,26.88,li-ion,200,5.32
232,folding,steel,240.82,76.38,24.15,lead acid,240,5.19
233,folding,carbon fiber,205.4,60.06,22.64,nimh,245,4.94
234,standard,aluminum,289.74,63.14,16.24,li-ion,256,4.07
235,standard,steel,434.12,47.7,19.9,nimh,132,4.09
236,mountain,aluminum,510.06,54.34,26.75,lead acid,233,8.56
237,folding,steel,674.54,56.26,27.51,other,264,8.25
238,road,steel,516.06,72.94,25.41,lead acid,379,4.17
239,standard,carbon fiber,571.89,76.09,36.52,li-ion,168,5.21
240,folding,carbon fiber,466.83,78.8,25.0,lead acid,320,6.54
241,folding,steel,454.23,85.63,24.21,lead acid,220,7.84
242,road,aluminum,718.06,34.82,23.35,lead acid,285,8.94
243,road,steel,550.28,60.17,19.25,lead acid,243,9.01
244,mountain,steel,562.28,83.37,21.89,li-ion,281,5.42
245,standard,carbon fiber,461.73,45.74,28.0,lead acid,230,5.06
246,road,carbon fiber,400.8,68.42,22.69,lead acid,215,6.99
247,road,aluminum,539.77,65.57,33.0,other,282,5.71
248,folding,carbon fiber,493.25,40.03,29.89,li-ion,367,8.52
249,road,aluminum,202.4,63.08,28.26,li-ion,196,4.46
250,standard,carbon fiber,570.09,60.85,31.39,li-ion,251,7.04
251,standard,steel,733.37,54.97,23.84,li-ion,226,6.03
252,mountain,steel,266.03,79.84,18.36,li-ion,242,7.18
253,standard,steel,624.71,53.43,29.68,lead acid,178,6.54
254,standard,aluminum,414.91,24.82,37.53,lead acid,252,7.59
255,road,carbon fiber,673.64,59.53,24.9,lead acid,204,8.21
256,folding,carbon fiber,799.4,51.76,25.85,nimh,254,7.31
257,folding,steel,315.26,83.69,19.59,li-ion,327,4.35
258,standard,aluminum,684.14,44.87,22.96,other,188,9.06
259,folding,steel,291.25,55.35,20.47,lead acid,289,3.63
260,mountain,aluminum,593.5,75.23,31.48,li-ion,305,5.89
261,folding,aluminum,357.88,80.45,25.67,nimh,259,7.05
262,road,steel,646.02,34.87,20.31,li-ion,238,5.78
263,road,aluminum,626.21,68.16,25.0,nimh,186,5.04
264,mountain,steel,472.84,48.97,30.66,lead acid,256,8.08
265,folding,aluminum,612.11,50.48,23.81,nimh,205,4.97
266,mountain,aluminum,556.58,60.39,36.63,nimh,229,5.14
267,road,steel,680.24,57.83,20.43,lead acid,192,9.53
268,mountain,carbon fiber,204.5,66.86,34.68,li-ion,256,4.8
269,road,steel,658.33,38.83,36.52,li-ion,178,8.28
270,standard,steel,347.97,66.6,27.35,li-ion,209,5.09
271,road,carbon fiber,718.96,61.54,27.16,nimh,244,7.76
272,road,steel,758.28,55.23,27.02,li-ion,258,8.85
273,folding,carbon fiber,698.85,46.13,19.78,li-ion,298,7.73
274,mountain,steel,396.3,65.73,24.28,lead acid,215,7.11
275,folding,aluminum,299.35,66.17,23.58,li-ion,270,4.25
276,road,carbon fiber,658.93,50.37,25.9,li-ion,208,8.8
277,folding,steel,378.59,51.48,28.96,li-ion,224,4.65
278,standard,steel,739.67,72.64,22.23,nimh,217,6.01
279,mountain,steel,382.19,70.67,26.81,li-ion,298,5.76
280,mountain,steel,731.57,66.89,23.3,li-ion,267,6.67
281,standard,carbon fiber,619.31,67.45,22.36,other,302,7.19
282,folding,aluminum,215.01,53.26,33.72,nimh,247,6.76
283,road,aluminum,592.0,59.38,28.98,nimh,220,6.47
284,mountain,steel,598.3,81.34,23.1,nimh,218,6.38
285,standard,carbon fiber,424.21,75.43,22.26,nimh,256,4.02
286,standard,aluminum,331.77,59.71,26.94,li-ion,349,5.96
287,mountain,carbon fiber,531.37,61.46,24.26,lead acid,195,7.78
288,folding,carbon fiber,312.56,91.65,31.43,li-ion,263,6.35
289,folding,steel,789.19,52.61,25.05,lead acid,236,9.31
290,road,aluminum,786.79,85.99,29.27,lead acid,204,6.33
291,road,steel,419.71,77.28,29.31,li-ion,195,6.51
292,standard,aluminum,380.99,93.09,26.02,nimh,320,5.51
293,folding,steel,481.54,67.58,16.11,li-ion,294,5.39
294,mountain,steel,601.6,79.86,25.0,li-ion,262,7.91
295,road,carbon fiber,234.22,67.0,27.48,li-ion,233,7.53
296,standard,carbon fiber,348.57,56.29,24.91,lead acid,227,6.0
297,standard,steel,261.53,43.44,20.98,nimh,270,6.51
298,mountain,steel,428.41,46.57,25.29,li-ion,172,7.91
299,road,aluminum,301.15,73.34,26.83,lead acid,244,5.37
300,mountain,steel,756.48,68.83,22.95,nimh,264,6.45
301,standard,carbon fiber,684.74,72.62,28.5,li-ion,238,7.51
302,road,steel,384.29,44.69,23.5,li-ion,250,6.89
303,folding,steel,737.87,94.35,17.07,lead acid,315,7.02
304,mountain,carbon fiber,395.4,46.99,27.1,li-ion,244,5.31
305,standard,aluminum,625.91,29.37,25.84,lead acid,207,6.99
306,road,carbon fiber,482.14,66.95,35.96,li-ion,146,8.95
307,folding,carbon fiber,299.95,71.04,24.71,lead acid,157,6.52
308,standard,aluminum,248.32,59.71,18.35,lead acid,196,6.34
309,mountain,aluminum,724.66,55.9,31.97,nimh,192,5.07
310,road,aluminum,263.33,24.69,21.49,lead acid,181,6.46
311,road,aluminum,700.35,84.63,26.36,lead acid,319,8.44
312,standard,carbon fiber,371.39,45.41,27.81,li-ion,217,8.14
313,folding,carbon fiber,542.77,75.68,23.49,nimh,237,5.44
314,standard,carbon fiber,706.05,60.82,17.62,li-ion,222,5.86
315,road,aluminum,561.68,37.47,27.66,li-ion,231,6.4
316,road,aluminum,385.79,44.7,14.68,lead acid,330,7.22
317,road,steel,508.55,60.8,20.43,li-ion,264,10.93
318,mountain,aluminum,675.44,62.53,18.41,nimh,216,7.92
319,standard,carbon fiber,470.74,52.11,25.0,li-ion,274,8.62
320,road,carbon fiber,221.91,44.53,22.38,nimh,215,1.36
321,mountain,carbon fiber,572.49,67.87,19.04,nimh,286,8.59
322,standard,carbon fiber,293.65,69.24,18.47,lead acid,189,4.38
323,road,carbon fiber,329.06,41.45,25.96,li-ion,245,5.14
324,folding,steel,752.88,50.31,30.69,nimh,305,8.04
325,mountain,steel,236.92,60.01,32.79,nimh,342,3.55
326,folding,carbon fiber,565.58,60.23,32.28,lead acid,233,6.24
327,mountain,steel,383.99,58.39,18.58,lead acid,226,7.25
328,mountain,steel,429.61,57.2,29.74,lead acid,207,8.76
329,folding,steel,218.91,45.72,25.86,lead acid,253,2.34
330,standard,steel,656.83,56.01,26.04,li-ion,279,6.48
331,mountain,aluminum,537.67,25.0,28.53,li-ion,259,7.31
332,folding,steel,452.43,65.05,27.37,lead acid,353,5.29
333,folding,aluminum,346.17,51.94,28.27,lead acid,320,2.23
334,mountain,carbon fiber,511.56,58.42,27.38,lead acid,240,6.07
335,standard,aluminum,537.37,38.63,17.85,other,263,7.97
336,road,aluminum,269.33,52.14,19.55,nimh,208,6.84
337,folding,aluminum,754.08,41.02,22.53,lead acid,277,7.6
338,standard,carbon fiber,459.03,71.2,21.03,nimh,206,4.34
339,standard,aluminum,743.87,43.79,29.92,lead acid,188,10.26
340,standard,carbon fiber,300.25,53.28,30.09,li-ion,255,4.53
341,standard,carbon fiber,279.54,64.33,30.59,li-ion,293,5.53
342,road,aluminum,325.16,40.14,14.65,nimh,264,4.97
343,standard,carbon fiber,241.72,79.08,22.83,li-ion,257,10.16
344,road,carbon fiber,366.88,81.07,19.06,nimh,258,5.28
345,standard,aluminum,358.48,75.27,29.88,lead acid,238,4.13
346,folding,carbon fiber,399.0,63.48,21.18,lead acid,277,7.07
347,road,carbon fiber,538.87,74.17,19.46,nimh,220,6.81
348,standard,steel,200.6,84.04,30.98,lead acid,332,3.92
349,folding,carbon fiber,709.05,42.59,16.97,nimh,303,9.36
350,folding,carbon fiber,422.41,68.84,23.47,li-ion,209,6.78
351,road,steel,403.2,51.98,38.85,lead acid,264,3.3
352,standard,steel,321.86,51.23,14.58,li-ion,288,5.72
353,mountain,carbon fiber,436.22,84.0,24.6,lead acid,324,6.64
354,mountain,steel,644.22,64.4,28.35,lead acid,267,8.87
355,mountain,carbon fiber,768.78,33.52,19.58,lead acid,188,6.71
356,road,carbon fiber,287.64,70.88,21.0,lead acid,274,5.82
357,standard,steel,417.91,54.11,23.74,nimh,274,7.14
358,folding,aluminum,745.37,49.87,27.15,lead acid,229,8.25
359,folding,aluminum,415.81,71.95,26.0,li-ion,250,5.4
360,standard,carbon fiber,297.25,68.61,24.35,lead acid,204,5.76
361,standard,carbon fiber,388.49,49.65,31.24,lead acid,191,7.22
362,standard,carbon fiber,308.05,64.27,24.35,nimh,186,4.09
363,mountain,steel,504.95,50.34,25.0,nimh,330,7.48
364,mountain,steel,775.69,59.4,22.37,li-ion,193,7.13
365,folding,carbon fiber,411.31,50.08,25.46,li-ion,276,7.59
366,standard,steel,465.33,56.26,30.67,li-ion,171,8.74
367,folding,aluminum,211.11,54.85,25.0,nimh,237,5.15
368,road,steel,581.19,80.16,21.7,lead acid,280,9.87
369,road,steel,318.26,78.78,19.36,nimh,275,4.82
370,folding,steel,746.87,38.25,25.87,nimh,259,10.86
371,mountain,steel,667.33,55.39,24.44,nimh,216,7.79
372,folding,carbon fiber,432.62,60.89,25.43,li-ion,240,5.67
373,mountain,steel,715.96,72.4,26.44,other,252,8.49
374,mountain,aluminum,633.42,47.17,24.45,nimh,269,7.39
375,mountain,carbon fiber,706.95,87.5,21.56,li-ion,217,6.53
376,folding,aluminum,502.85,69.21,17.64,li-ion,254,6.16
377,mountain,aluminum,342.27,55.02,20.47,nimh,253,7.99
378,standard,carbon fiber,256.73,67.8,23.41,nimh,241,4.74
379,standard,steel,677.84,63.13,25.0,nimh,252,8.83
380,folding,carbon fiber,618.11,70.9,31.84,lead acid,229,8.65
381,folding,aluminum,635.82,64.24,30.07,lead acid,252,6.95
382,standard,aluminum,425.41,67.29,28.23,lead acid,232,4.67
383,road,carbon fiber,218.01,70.55,25.2,nimh,352,7.77
384,mountain,aluminum,501.65,50.37,14.7,lead acid,262,4.89
385,standard,carbon fiber,353.68,77.3,18.4,li-ion,218,7.26
386,standard,steel,283.14,48.82,25.96,li-ion,180,3.69
387,standard,steel,352.18,41.0,19.24,li-ion,235,8.39
388,standard,carbon fiber,693.45,64.84,26.18,lead acid,222,5.56
389,road,aluminum,517.26,67.32,26.14,lead acid,273,3.98
390,road,aluminum,447.32,75.15,20.3,lead acid,270,4.46
391,folding,steel,233.62,70.46,29.66,lead acid,322,4.96
392,folding,steel,657.13,63.17,25.05,li-ion,255,7.29
393,mountain,steel,223.71,82.03,28.57,li-ion,262,2.2
394,road,aluminum,492.05,34.29,28.35,lead acid,170,7.87
395,road,aluminum,501.35,53.73,21.45,li-ion,313,6.13
396,standard,carbon fiber,489.94,94.58,27.37,nimh,160,7.14
397,road,aluminum,742.67,60.48,28.27,li-ion,262,5.54
398,folding,carbon fiber,472.54,44.82,25.76,li-ion,276,6.73
399,mountain,carbon fiber,213.81,65.17,25.67,li-ion,246,4.42
400,road,aluminum,661.33,52.84,17.13,li-ion,289,7.78
401,mountain,steel,763.68,67.07,21.99,li-ion,196,6.03
402,mountain,carbon fiber,392.1,78.42,21.38,lead acid,219,4.8
403,standard,steel,414.01,41.06,19.73,li-ion,259,4.36
404,mountain,steel,444.32,47.57,24.98,nimh,188,6.55
405,folding,carbon fiber,562.58,40.32,24.11,lead acid,300,7.94
406,folding,aluminum,662.53,77.52,27.36,lead acid,148,6.21
407,road,steel,361.78,95.22,25.35,lead acid,286,6.04
408,mountain,steel,308.65,35.8,15.65,nimh,286,7.15
409,standard,aluminum,359.38,64.39,17.78,lead acid,170,3.25
410,mountain,steel,645.12,52.65,20.38,nimh,283,6.63
411,mountain,carbon fiber,369.28,54.27,19.54,li-ion,274,8.06
412,standard,carbon fiber,775.09,82.71,25.38,lead acid,299,7.07
413,road,carbon fiber,521.46,52.02,19.18,nimh,281,7.3
414,mountain,steel,796.7,57.36,24.9,nimh,353,10.02
415,standard,steel,281.64,59.03,23.78,lead acid,254,5.06
416,mountain,aluminum,712.36,46.05,26.02,li-ion,261,8.12
417,standard,aluminum,320.36,73.97,24.38,nimh,246,6.78
418,standard,aluminum,493.55,58.9,31.73,nimh,153,6.18
419,mountain,carbon fiber,448.52,41.94,25.0,li-ion,241,4.91
420,mountain,steel,660.43,40.51,18.59,li-ion,131,9.24
421,folding,aluminum,794.3,65.67,30.36,nimh,302,5.62
422,standard,aluminum,243.82,51.57,24.75,lead acid,265,6.53
423,mountain,aluminum,332.97,75.16,19.01,li-ion,254,8.69
424,mountain,carbon fiber,406.2,62.23,17.44,lead acid,214,7.67
425,standard,steel,350.38,49.48,34.89,lead acid,267,7.23
